r,r_over_R,chord,twist,phi,alpha_deg,Cl,Cd,stalled,dT,dQ,vi,M_local
0.3426416666666666,0.44966097987751524,0.0508,0.0,0.08984167489825554,6.852451203943529,0.6876875532111182,0.029179552772835328,False,79.35657074989014,3.6170395856695317,3.8788104455566588,0.12704302732377998
0.35325833333333334,0.4635936132983377,0.0508,0.0,0.08885025090894214,6.9092556142392105,0.6933882411496702,0.02947721183231127,False,85.04513498152902,3.9685746591951423,3.954630164540629,0.13096779129298688
0.363875,0.4775262467191601,0.0508,0.0,0.0878937608048366,6.964058460350486,0.698888059248277,0.02976671150698764,False,90.94487434261508,4.341902376660823,4.029401130042054,0.13489240593575516
0.37449166666666667,0.4914588801399825,0.0508,0.0,0.08697017004519272,7.016976312875362,0.7041987061162293,0.030048424109480963,False,97.05654607868571,4.737648072458197,4.1031675518096105,0.13881688056738672
0.3851083333333334,0.5053915135608049,0.0508,0.0,0.0860775675995022,7.068118665796484,0.7093311701789498,0.030322711114836982,False,103.38090782321137,5.156435433118951,4.175968727397684,0.14274122321512153
0.395725,0.5193241469816273,0.0508,0.0,0.08521424740648359,7.11758326922487,0.7142952612888068,0.030589894907358972,False,109.91864296487854,5.598886103743587,4.247843954360654,0.1466654418896118
0.4063416666666667,0.5332567804024497,0.0508,0.0,0.08437860999266483,7.165461766239912,0.7191001764182647,0.030850285963129657,False,116.67042703755337,6.06562014081493,4.318828846107179,0.15058954365341232
0.4169583333333333,0.547189413823272,0.0508,0.0,0.08356921870358851,7.211836471078637,0.7237541763304535,0.031104162864112404,False,123.63686825342775,6.557255763381817,4.388959016045913,0.1545135355530194
0.42757500000000004,0.5611220472440945,0.0508,0.0,0.08278475681443444,7.256782826516027,0.7282648321930896,0.031351783206398066,False,130.81853078096364,7.074409578151879,4.458268849536944,0.1584374243055623
0.43819166666666665,0.5750546806649168,0.0508,0.0,0.08202405731103005,7.300367697538795,0.7326388543376647,0.03159337205615145,False,138.21588985574243,7.6176965117673285,4.526793959988927,0.16236121689176714
0.44880833333333336,0.5889873140857393,0.0508,0.0,0.08128602031961954,7.34265410227115,0.7368825670382751,0.03182914622324832,False,145.82940225273182,8.187730222471957,4.594567504713375,0.16628491965310474
0.459425,0.6029199475065616,0.0508,0.0,0.08056977440366943,7.383691970348575,0.7410009810549884,0.03205926101793781,False,153.6593116686938,8.78512262612037,4.661630009313239,0.1702085406334258
0.4700416666666667,0.6168525809273842,0.0508,0.0,0.07987448557947735,7.423529085517393,0.7449988917940927,0.0322838695188819,False,161.70583630007587,9.410484796888198,4.728019543294325,0.1741320871928534
0.4806583333333333,0.6307852143482064,0.0508,0.0,0.07919951479596647,7.462202062707204,0.7488799737992802,0.032503070516355786,False,169.96896490255608,10.06442668387894,4.793781544453889,0.17805556831452798
0.491275,0.6447178477690289,0.0508,0.0,0.07854441670714789,7.499736418363596,0.7526467878099871,0.03271690688849496,False,178.44841248284567,10.747557602271002,4.858970046929205,0.18197899481496085
0.5018916666666666,0.6586504811898513,0.0508,0.0,0.07790891925075148,7.536147740506409,0.7563008981842664,0.032925370457252474,False,187.14359987082085,11.460486889065942,4.923647681197567,0.18590237926693617
0.5125083333333333,0.6725831146106737,0.0508,0.0,0.07729296261988335,7.571439455818251,0.7598426488117583,0.0331283875596699,False,196.0535493875629,12.203824605018536,4.987889358222013,0.18982573676615241
0.523125,0.686515748031496,0.0508,0.0,0.07669680779794288,7.605596611051813,0.7632705390379159,0.033325781314299835,False,205.1766558190181,12.978182563366179,5.051790865791347,0.19374908677278774
0.5337416666666667,0.7004483814523185,0.0508,0.0,0.07612104118026684,7.638585608229171,0.7665811970895531,0.03351726774031199,False,214.51057855916284,13.784175960869124,5.115471324617287,0.1976724535044175
